,id,cons_12m,cons_gas_12m,cons_last_month,date_activ,date_end,date_modif_prod,date_renewal,forecast_cons_12m,forecast_cons_year,forecast_discount_energy,forecast_meter_rent_12m,forecast_price_energy_p1,forecast_price_energy_p2,forecast_price_pow_p1,has_gas,imp_cons,margin_gross_pow_ele,margin_net_pow_ele,nb_prod_act,net_margin,num_years_antig,pow_max,churn,avg_price_energy,avg_price_power,origin_up_kamkkxfxxuwbdslkwifmmcsiusiuosws,origin_up_ldkssxwpmemidmecebumciepifcamkci,origin_up_lxidpiddsbxsbosboudacockeimpuepw,channel_sales_ewpakwlliwisiwduibdlfmalxowmwpci,channel_sales_foosdfpfkusacimwkcsosbicdxkicaua,channel_sales_lmkebamcaaclubfxadlmueccxoimlema,channel_sales_unknown,channel_sales_usilxuppasemubllopkaafesmlibmsdf
0,48ada52261e7cf58715202705a0451c9,309275,0,10025,2012.11,2016.11,2012.11,2015.11,26520.3,10025,0.0,359.29,0.095919,0.088347,58.99595196,0,831.8,-41.76,-41.76,1,1732.36,3,180.0,0,0.08760158333333327,34.550146516666665,0,1,0,0,0,1,0,0
1,24011ae4ebbe3035111d65fa7c15bc57,0,54946,0,2013.06,2016.06,2013.11,2015.06,0.0,0,0.0,1.78,0.114481,0.098142,40.606701,1,0.0,25.44,25.44,2,678.99,3,43.648,1,0.0991904848484848,27.093347381818177,0,0,1,0,1,0,0,0
2,d29c2c54acc38ff3c0614d0a653813dd,4660,0,0,2009.08,2016.08,2009.08,2015.08,189.95,0,0.0,16.27,0.1457109999999999,0.0,44.31137796,0,0.0,16.38,16.38,1,18.89,6,13.8,0,0.04997799999999997,14.771805247272725,1,0,0,0,0,0,1,0
3,764c75f661154dac3a6c254cd082ea7d,544,0,0,2010.04,2016.04,2010.04,2015.04,47.96,0,0.0,38.72,0.165794,0.087899,44.31137796,0,0.0,28.6,28.6,1,6.6,6,13.856,0,0.08631097222222217,14.79515012,1,0,0,0,1,0,0,0
4,bba03439a292a1e166f80264c16191cb,1584,0,0,2010.03,2016.03,2010.03,2015.03,240.04,0,0.0,19.83,0.146694,0.0,44.31137796,0,0.0,30.22,30.22,1,25.46,6,13.2,0,0.0504033611111111,14.800088420000002,1,0,0,0,0,1,0,0
5,568bb38a1afd7c0fc49c77b3789b59a3,121335,0,12400,2010.04,2016.04,2010.04,2015.04,10865.02,12400,0.0,170.74,0.1100829999999999,0.093746,40.606701,0,1052.37,-3.18,-3.18,1,823.18,6,75.0,0,0.0952498888888888,27.11638653333333,0,0,1,0,1,0,0,0
6,149d57cf92fc41cf94415803a877cb4b,4425,0,526,2010.01,2016.03,2010.01,2015.03,445.75,526,0.0,131.73,0.1169,0.1000149999999999,40.606701,0,52.32,44.91,44.91,1,47.98,6,19.8,0,0.1002259166666666,27.1254374,1,0,0,0,0,0,1,0
7,1aa498825382410b098937d65c4ec26d,8302,0,1998,2011.12,2016.12,2015.11,2015.12,796.94,1998,0.0,30.12,0.164775,0.086131,45.30837756,0,181.21,33.12,33.12,1,118.89,4,13.2,1,0.08552847222222217,14.755643486666663,0,0,1,0,0,0,0,1
8,7ab4bf4878d8f7661dfc20e9b8e18011,45097,0,0,2011.12,2016.12,2011.12,2015.12,8069.28,0,0.0,0.0,0.166178,0.087538,44.31137796,0,0.0,4.04,4.04,1,346.63,4,15.0,1,0.08360163888888883,14.755643319999997,0,0,1,0,1,0,0,0
9,01495c955be7ec5e7f3203406785aae0,29552,0,1260,2010.04,2016.04,2010.04,2015.04,864.73,751,0.0,144.49,0.115174,0.098837,40.606701,0,70.63,53.92,53.92,1,100.09,6,26.4,0,0.0996176666666666,27.11638653333333,0,0,1,0,1,0,0,0
